Object Name,RA,DEC,Velocity,Redshift,Magnitude and Filter
WISEA J003323.54+142804.6,8.3483,14.468079999999999,1254531,4.184664,22.9g
WISEA J003332.58-064140.3,8.38567,-6.694610000000001,1876066,6.257880999999999,17.78
SDSS J003334.53+144841.1,8.393880000000001,14.811420000000002,846831,2.824723,22.6g
WISEA J003356.13-011139.4,8.48419,-1.19436,315240,1.051526,22.4g
SDSS J003359.08-004520.2,8.496189999999999,-0.75563,380736,1.27,21.0g
SDSS J003409.25+010250.5,8.53857,1.04739,333325,1.1118540000000001,22.0g
WISEA J003413.14-010437.8,8.55512,-1.0765200000000001,1129725,3.768356,21.5g
SDSS J003418.58+144548.1,8.57745,14.763370000000002,692310,2.309296,22.3g
WISEA J003432.85+003101.5,8.63705,0.51698,302030,1.007463,22.3g
WISEA J003434.10+005817.3,8.64247,0.97141,558173,1.861864,21.3g
WISEA J003500.52+140033.9,8.75233,14.009279999999999,309833,1.033491,21.4g
WISEA J003511.37+143630.9,8.79711,14.608479999999998,393585,1.312857,23.2g
WISEA J003512.65+004540.4,8.80278,0.76157,1238790,4.132158,22.4g
WISEA J003530.20+160626.2,8.87584,16.10732,359037,1.197618,21.6g
SDSS J003551.29+142700.8,8.96371,14.45025,758484,2.5300290000000003,22.2g
WISEA J003601.39-100319.9,9.00582,-10.05561,442194,1.475,20.33
SDSS J003623.81-090159.2,9.09924,-9.03314,505150,1.685,19.2g
WISEA J003635.66+010515.2,9.148530000000001,1.08728,312039,1.04085,20.6g
WISEA J003645.55-091956.4,9.18982,-9.332469999999999,533435,1.7793459999999999,17.8g
SDSS J003645.80+160903.7,9.19086,16.15105,673193,2.245531,21.6g
WISEA J003649.57-111058.0,9.20658,-11.182889999999999,1050773,3.505,20.3g
WISEA J003650.18+161020.2,9.20947,16.17233,850665,2.837513,20.3g
WISEA J003650.54-005420.8,9.21081,-0.9059,372216,1.241578,21.5g
SDSS J003712.58-010833.0,9.302430000000001,-1.14252,495912,1.654184,21.0g
SDSS J003721.54-002204.0,9.34033,-0.3686,671945,2.241367,19.63
WISEA J003731.02-001129.6,9.3792,-0.19155999999999998,309988,1.034008,21.4g
WISEA J003731.89-004859.9,9.38302,-0.81663,317933,1.06051,22.1g
SDSS J003733.51-003918.0,9.38965,-0.65501,887325,2.959798,21.5g
SDSS J003737.72-005056.2,9.407169999999999,-0.84895,383169,1.278115,21.5g
SDSS J003747.42+000153.0,9.44762,0.0314,677223,2.258973,22.0g
SDSS J003752.29-004735.4,9.46791,-0.79318,1228476,4.097755,21.6g
SDSS J003752.71-085222.2,9.46964,-8.872860000000001,821460,2.740094,21.5g
SDSS J003752.86+000128.1,9.4703,0.02449,953677,3.1811220000000002,22.0g
WISEA J003754.18+004417.4,9.47558,0.73855,683362,2.279449,21.9g
SDSS J003801.04+154327.7,9.50436,15.724379999999998,657052,2.1916889999999998,21.8g
SDSS J003802.04+002217.8,9.50853,0.37162,1239620,4.1349279999999995,22.0g
WISEA J003802.78-002612.0,9.51158,-0.43665,309714,1.033094,21.9g
WISEA J003831.26-022556.2,9.63032,-2.43237,919308,3.06648,20.42
WISEA J003837.57-001907.5,9.6565,-0.31873,346095,1.15445,23.1g
WISEA J003853.20-010320.5,9.72147,-1.05558,710461,2.369843,21.4g
SDSS J003854.19+002211.9,9.72583,0.37003,589955,1.9678790000000002,21.9g
SDSS J003857.40+003906.1,9.739189999999999,0.65171,886805,2.9580610000000003,19.6g
SDSS J003916.05+002956.5,9.816889999999999,0.49903000000000003,430292,1.4353,21.5g
SDSS J003925.98+000946.1,9.858260000000001,0.16282,400007,1.33428,21.0g
WISEA J003931.60+011239.6,9.8815,1.21097,1893756,6.316889,21.2g
WISEA J003939.81-094932.6,9.91578,-9.82567,442194,1.475,18.60
WISEA J003954.97-004621.3,9.978860000000001,-0.7724300000000001,688740,2.29739,20.5g
SDSS J004002.77+003506.5,10.011560000000001,0.58516,824092,2.7488759999999997,22.1g
SDSS J004003.64-004039.8,10.0152,-0.67775,522910,1.7442389999999999,21.7g
WISEA J004013.75-095433.0,10.05725,-9.90912,307287,1.025,19.85
WISEA J004022.77-095257.0,10.09502,-9.882489999999999,517142,1.725,21.90
WISEA J004032.75+155956.8,10.1365,15.99915,616074,2.055,20.8r
WISEA J004045.78-093929.3,10.1908,-9.65812,321497,1.0724,25.8g
